name,frames,secs,avg_ms,fps,p50,p95,p99,max
C_ic_static_min,2253,20.0,8.878,112.6,8.881,9.909,10.242,10.711
C_ic_orbit_min,1035,20.0,19.336,51.7,18.859,22.001,22.640,23.638
C_ic_fly_ground,3777,20.0,5.296,188.8,4.310,13.616,15.535,16.508
C_st_static_min,3578,20.0,5.591,178.9,5.534,6.344,7.029,8.145
