name,frames,secs,avg_ms,fps,p50,p95,p99,max
A_st_static_all,3706,20.0,5.397,185.3,5.326,5.970,6.734,7.525
A_st_orbit_all,2334,20.0,8.569,116.7,8.596,9.514,10.166,11.488
A_ic_static_all,1061,20.0,18.863,53.0,18.857,19.621,20.056,21.155
A_ic_orbit_all,1081,20.0,18.515,54.0,17.964,20.974,21.568,22.163
A_ic_orbit_low,1398,20.0,14.316,69.9,13.950,16.157,16.650,17.513
A_ic_orbit_high,797,20.0,25.125,39.8,24.630,28.139,28.769,31.261
A_ic_orbit_combo,2596,20.0,7.706,129.8,7.566,8.847,9.164,10.277
